,nose,left_eye_inner,left_eye,left_eye_outer,right_eye_inner,right_eye,right_eye_outer,left_ear,right_ear,mouth_left,mouth_right,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_pinky,right_pinky,left_index,right_index,left_thumb,right_thumb,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,left_heel,right_heel,left_foot_index,right_foot_index,exercise
262,"[404.96575355529785, 472.82928466796875, -433.19915771484375]","[409.70244884490967, 464.1627883911133, -385.0874710083008]","[412.6348114013672, 464.83612060546875, -385.1087188720703]","[415.212779045105, 465.56907653808594, -384.97520446777344]","[398.84413719177246, 462.9415512084961, -416.60770416259766]","[394.7540473937988, 462.89588928222656, -416.7268753051758]","[390.5625915527344, 463.10447692871094, -416.7571258544922]","[415.41632652282715, 473.5102081298828, -125.04629135131836]","[382.46922969818115, 469.8690414428711, -264.4030952453613]","[408.8537120819092, 486.2116241455078, -335.0325393676758]","[396.88397884368896, 483.873291015625, -375.4097366333008]","[438.18660736083984, 545.0002288818359, 32.63485670089722]","[349.3340992927551, 526.89453125, -320.3898239135742]","[487.760009765625, 559.9839019775391, -225.11468887329102]","[321.57681941986084, 530.9054565429688, -955.5802917480469]","[531.0383319854736, 548.4302520751953, -697.371826171875]","[314.2873477935791, 506.97986602783203, -1643.1240844726562]","[550.8960771560669, 542.13134765625, -789.8841857910156]","[309.46486473083496, 492.2283172607422, -1803.1617736816406]","[549.8996686935425, 538.5386276245117, -804.6157836914062]","[316.68423414230347, 488.72676849365234, -1794.5416259765625]","[541.8965578079224, 540.7012939453125, -722.0597076416016]","[319.33260440826416, 494.48963165283203, -1662.9914855957031]","[386.6318893432617, 720.1891326904297, 107.73112297058105]","[330.5866599082947, 709.9885559082031, -107.4770736694336]","[381.4962100982666, 835.0376129150391, 317.95616149902344]","[300.57613134384155, 821.0774230957031, -212.8396987915039]","[366.20062351226807, 935.1283264160156, 799.5988464355469]","[282.2178268432617, 929.3746185302734, 113.01057815551758]","[351.81301832199097, 947.080078125, 831.6243743896484]","[283.17389488220215, 942.0503997802734, 129.46789741516113]","[379.43957805633545, 969.6697998046875, 588.6478042602539]","[270.85925102233887, 960.99609375, -189.2915916442871]",squat
263,"[405.19389152526855, 472.8418731689453, -431.5821838378906]","[410.05040645599365, 464.17545318603516, -383.51940155029297]","[412.94427394866943, 464.85347747802734, -383.546142578125]","[415.543270111084, 465.5866241455078, -383.4060287475586]","[399.15003776550293, 462.9662322998047, -413.6142349243164]","[395.034499168396, 462.9132843017578, -413.7411880493164]","[390.8379364013672, 463.0992889404297, -413.7480926513672]","[415.61686992645264, 473.5124969482422, -124.04504776000977]","[382.6985692977905, 469.7809600830078, -255.8323860168457]","[408.99649143218994, 486.29066467285156, -333.7467575073242]","[397.06053256988525, 483.88702392578125, -372.2833251953125]","[438.2504653930664, 544.9254608154297, 29.43929433822632]","[349.4362807273865, 526.8511962890625, -310.1931953430176]","[487.9533863067627, 559.9065017700195, -260.48500061035156]","[321.5598249435425, 530.9590530395508, -950.1678466796875]","[531.1554479598999, 547.9816436767578, -760.7481384277344]","[314.1810894012451, 506.5904235839844, -1640.9278869628906]","[550.9822511672974, 541.3717651367188, -858.6258697509766]","[309.7058343887329, 491.5813446044922, -1799.6002197265625]","[549.9202251434326, 537.9668045043945, -871.9371032714844]","[317.1498441696167, 488.13365936279297, -1791.8812561035156]","[541.8977165222168, 540.2593231201172, -785.8180236816406]","[319.5082139968872, 493.95057678222656, -1660.7118225097656]","[386.8202018737793, 719.9424743652344, 105.20138740539551]","[330.6601309776306, 709.9146270751953, -104.93890762329102]","[381.5021753311157, 834.2622375488281, 292.0235824584961]","[300.63061237335205, 820.943603515625, -209.28739547729492]","[365.56148529052734, 935.1387023925781, 772.3123931884766]","[282.39487409591675, 929.4142913818359, 118.77345085144043]","[351.1302137374878, 947.0883178710938, 803.8712310791016]","[283.2945942878723, 942.0982360839844, 135.29026985168457]","[379.44005012512207, 969.5500946044922, 554.506950378418]","[270.9169936180115, 960.936279296875, -184.12456512451172]",squat
264,"[405.37696838378906, 472.87879943847656, -426.7621612548828]","[410.3288412094116, 464.19979095458984, -379.0203094482422]","[413.21378231048584, 464.8686981201172, -379.0563201904297]","[415.84041595458984, 465.5967330932617, -378.9048767089844]","[399.38538551330566, 462.9678726196289, -406.30725860595703]","[395.25495529174805, 462.88421630859375, -406.43070220947266]","[391.0532855987549, 463.0286407470703, -406.4057922363281]","[415.89637756347656, 473.45462799072266, -122.3780345916748]","[382.8779983520508, 469.6344757080078, -241.83324813842773]","[409.11983013153076, 486.33289337158203, -330.3811264038086]","[397.20223903656006, 483.9284896850586, -365.2775192260742]","[438.26600074768066, 544.8140716552734, 20.433049201965332]","[349.46012020111084, 526.2909698486328, -296.02081298828125]","[488.28284740448, 559.4964599609375, -311.1366653442383]","[321.7437171936035, 530.9656524658203, -943.8361358642578]","[531.2061738967896, 547.6487350463867, -840.0701904296875]","[314.48752641677856, 505.7301712036133, -1638.1765747070312]","[550.9781312942505, 541.1704254150391, -944.6332550048828]","[310.68323135375977, 490.4650115966797, -1795.9065246582031]","[549.9211263656616, 537.6171875, -955.1771545410156]","[318.0155110359192, 487.1121597290039, -1789.5533752441406]","[541.8895196914673, 539.9479293823242, -865.1991271972656]","[320.116024017334, 492.97840118408203, -1658.3168029785156]","[387.14953422546387, 719.3966674804688, 97.88250923156738]","[330.6925320625305, 709.6757507324219, -97.62081146240234]","[381.43750190734863, 833.9173889160156, 256.8174362182617]","[300.68307638168335, 820.4502868652344, -198.80178451538086]","[365.0439262390137, 935.1488494873047, 732.3746490478516]","[282.5677156448364, 929.4129943847656, 139.63847160339355]","[350.5572295188904, 947.0956420898438, 763.1331634521484]","[283.4353566169739, 942.0954895019531, 156.44329071044922]","[379.4373893737793, 969.5094299316406, 507.18006134033203]","[270.91504096984863, 960.6546783447266, -166.79872512817383]",squat
265,"[405.44468879699707, 472.88360595703125, -415.5918884277344]","[410.5004596710205, 464.2058563232422, -367.9597854614258]","[413.4166431427002, 464.8701858520508, -368.01292419433594]","[416.0790681838989, 465.59505462646484, -367.8659439086914]","[399.4921588897705, 462.9368591308594, -390.2573013305664]","[395.36988258361816, 462.81925201416016, -390.40122985839844]","[391.17331981658936, 462.91831970214844, -390.33008575439453]","[416.29355907440186, 473.37615966796875, -114.97873306274414]","[383.07300567626953, 469.4102096557617, -210.85878372192383]","[409.2302942276001, 486.34971618652344, -321.0512161254883]","[397.238245010376, 483.9120864868164, -349.0008544921875]","[438.6735677719116, 544.7776412963867, 17.4240505695343]","[349.6020197868347, 525.6069946289062, -253.35859298706055]","[489.5467472076416, 559.3172073364258, -348.2152557373047]","[321.73835277557373, 531.7247772216797, -867.0534515380859]","[531.3433313369751, 547.3474884033203, -914.6671295166016]","[314.9348759651184, 505.28011322021484, -1542.9766845703125]","[551.3137722015381, 540.6698608398438, -1024.8040008544922]","[311.4689898490906, 489.4091033935547, -1697.90771484375]","[550.1026582717896, 537.1787261962891, -1033.6852264404297]","[318.6439847946167, 485.94860076904297, -1689.8118591308594]","[541.9288730621338, 539.5498657226562, -939.9302673339844]","[320.6540322303772, 491.9745635986328, -1562.8363037109375]","[388.08783531188965, 717.6921081542969, 84.49182510375977]","[330.9016799926758, 708.6750793457031, -84.19783592224121]","[381.46196365356445, 833.1370544433594, 213.5129165649414]","[300.8443522453308, 818.9256286621094, -189.20427322387695]","[364.64738845825195, 935.0321960449219, 689.447021484375]","[282.8044366836548, 929.0901184082031, 151.3714599609375]","[350.2012252807617, 946.7642974853516, 719.8814392089844]","[284.70680952072144, 941.6041564941406, 167.65396118164062]","[379.29890155792236, 969.4297790527344, 460.69644927978516]","[270.86661100387573, 960.3284454345703, -155.86583137512207]",squat
266,"[405.61137199401855, 472.8731918334961, -416.53141021728516]","[410.78400135040283, 464.1942596435547, -368.96663665771484]","[413.69001388549805, 464.85851287841797, -369.0170669555664]","[416.37908935546875, 465.5879592895508, -368.87149810791016]","[399.7426986694336, 462.86693572998047, -391.9344711303711]","[395.6219673156738, 462.7035903930664, -392.07862854003906]","[391.423602104187, 462.7533721923828, -392.0151138305664]","[416.68975353240967, 473.3384704589844, -116.98100090026855]","[383.3912229537964, 469.1422653198242, -215.67266464233398]","[409.4313955307007, 486.3716506958008, -321.60560607910156]","[397.3704671859741, 483.8825988769531, -350.7720184326172]","[438.887414932251, 544.7673797607422, -3.3830103278160095]","[349.6946954727173, 525.3622436523438, -260.86097717285156]","[490.0845193862915, 559.2775344848633, -394.09934997558594]","[321.77871465682983, 531.8863677978516, -887.9823303222656]","[531.3630294799805, 547.1348190307617, -963.4159088134766]","[315.5712676048279, 505.14015197753906, -1567.6361083984375]","[551.4185285568237, 540.5615234375, -1076.2139892578125]","[311.9804120063782, 488.96732330322266, -1724.140625]","[549.978289604187, 536.953125, -1080.6910705566406]","[319.1784954071045, 485.3685760498047, -1714.4532775878906]","[541.9272422790527, 539.3187713623047, -987.4540710449219]","[321.2512421607971, 491.4699935913086, -1587.2799682617188]","[388.58951568603516, 717.5764465332031, 79.35068130493164]","[331.00521326065063, 708.6466979980469, -79.04473781585693]","[381.4659547805786, 832.8293609619141, 212.57766723632812]","[300.8463478088379, 818.2608032226562, -185.2906036376953]","[364.52821254730225, 934.9773406982422, 699.3753051757812]","[283.0409860610962, 928.7570190429688, 163.14619064331055]","[350.0334692001343, 946.6383361816406, 731.1115264892578]","[285.11647939682007, 941.0459136962891, 180.45997619628906]","[379.1367244720459, 969.3006134033203, 473.17012786865234]","[270.8402180671692, 959.9348449707031, -143.61763954162598]",squat
267,"[405.62446117401123, 472.88787841796875, -417.16102600097656]","[410.82863330841064, 464.2100143432617, -369.3923568725586]","[413.74876499176025, 464.8780822753906, -369.43458557128906]","[416.4465522766113, 465.60997009277344, -369.2880630493164]","[399.76449966430664, 462.87086486816406, -392.9677200317383]","[395.65046310424805, 462.70835876464844, -393.10707092285156]","[391.45973682403564, 462.75638580322266, -393.0502700805664]","[416.87021255493164, 473.34712982177734, -120.15656471252441]","[383.5282516479492, 469.14222717285156, -214.18317794799805]","[409.49233531951904, 486.38843536376953, -322.39356994628906]","[397.38420009613037, 483.8977813720703, -351.8548583984375]","[439.133620262146, 544.7888946533203, -14.126213788986206]","[349.7027635574341, 525.3774261474609, -256.6423797607422]","[490.3539848327637, 559.7528839111328, -415.6914520263672]","[321.77090406417847, 532.31201171875, -885.286865234375]","[531.1976337432861, 547.1492385864258, -993.8913726806641]","[316.2614107131958, 505.2032470703125, -1563.7287902832031]","[551.4148378372192, 540.5598068237305, -1109.317626953125]","[312.9536461830139, 489.09156799316406, -1719.912109375]","[549.443736076355, 536.8811798095703, -1112.1127319335938]","[320.39645433425903, 485.39146423339844, -1707.7616882324219]","[541.5523767471313, 539.2800140380859, -1017.606201171875]","[322.19733238220215, 491.4253616333008, -1582.4998474121094]","[389.0614986419678, 717.0651245117188, 72.69937515258789]","[331.0569477081299, 708.5240936279297, -72.41620063781738]","[381.42561435699463, 832.7171325683594, 203.77254486083984]","[300.90539932250977, 817.9243469238281, -152.75938987731934]","[364.52786922454834, 934.6427154541016, 698.9025115966797]","[283.32366943359375, 928.1969451904297, 212.45649337768555]","[350.0376319885254, 946.3011169433594, 731.4250183105469]","[286.3507032394409, 940.4476928710938, 231.2575912475586]","[379.1149663925171, 969.2432403564453, 471.99554443359375]","[270.8247685432434, 959.3766784667969, -89.46109771728516]",squat
268,"[405.74904441833496, 473.3400344848633, -429.27642822265625]","[410.96415996551514, 464.90699768066406, -382.71854400634766]","[413.8345956802368, 465.6151580810547, -382.7996063232422]","[416.5187358856201, 466.4434051513672, -382.66387939453125]","[400.0661516189575, 463.48846435546875, -406.15123748779297]","[395.9682083129883, 463.31295013427734, -406.2957763671875]","[391.7849063873291, 463.3523178100586, -406.2582015991211]","[416.89621925354004, 474.2675018310547, -134.7174072265625]","[383.7976312637329, 469.7522735595703, -234.1741180419922]","[409.5504426956177, 486.75376892089844, -335.54805755615234]","[397.52577781677246, 484.21875, -365.22918701171875]","[438.76540660858154, 545.2548217773438, -23.71999979019165]","[349.70778465270996, 525.685920715332, -281.4097023010254]","[490.4760789871216, 561.700553894043, -389.8245620727539]","[321.6299057006836, 530.3702545166016, -929.8877716064453]","[530.2183055877686, 548.033447265625, -923.4575653076172]","[317.14868545532227, 504.79522705078125, -1601.7356872558594]","[550.6817150115967, 540.8893585205078, -1031.4228820800781]","[313.96026849746704, 489.4416809082031, -1759.664306640625]","[547.3138904571533, 537.3102569580078, -1035.4145812988281]","[321.80508613586426, 485.6922149658203, -1740.1937866210938]","[539.1034984588623, 539.6462249755859, -946.4402008056641]","[323.5160565376282, 491.54930114746094, -1618.1187438964844]","[388.9447259902954, 717.1477508544922, 75.75037479400635]","[331.0065221786499, 708.5951232910156, -75.47772407531738]","[381.1767053604126, 832.6789093017578, 220.93233108520508]","[300.9453749656677, 818.123779296875, -139.02179718017578]","[364.0969133377075, 934.8697662353516, 707.1746063232422]","[283.85345935821533, 928.2108306884766, 225.2014923095703]","[349.69048976898193, 946.5169525146484, 739.1315460205078]","[286.594762802124, 940.4505157470703, 244.74864959716797]","[379.06389713287354, 969.2485809326172, 480.1825714111328]","[270.82223653793335, 959.2771148681641, -73.1682825088501]",squat
269,"[405.8416986465454, 475.343017578125, -429.02591705322266]","[411.04363918304443, 466.9416046142578, -382.5199508666992]","[413.870644569397, 467.71949768066406, -382.5966262817383]","[416.5610933303833, 468.6885452270508, -382.45548248291016]","[400.37703037261963, 465.245361328125, -405.1615524291992]","[396.31680965423584, 465.02918243408203, -405.3023147583008]","[392.19054222106934, 465.01842498779297, -405.26710510253906]","[417.00809955596924, 476.3057327270508, -134.176664352417]","[384.18992042541504, 471.2645721435547, -227.55430221557617]","[409.6080780029297, 488.5507583618164, -335.09578704833984]","[397.60366916656494, 485.9356689453125, -364.25071716308594]","[438.79591941833496, 547.7333831787109, -15.241868495941162]","[349.7088575363159, 527.0552825927734, -269.75534439086914]","[489.88569259643555, 566.2627410888672, -361.0105895996094]","[321.4888858795166, 530.4351043701172, -872.3384094238281]","[529.7240495681763, 549.6932220458984, -888.8749694824219]","[318.25188875198364, 506.1473083496094, -1526.2606811523438]","[550.5915927886963, 542.2440338134766, -994.4210052490234]","[315.65701246261597, 492.108154296875, -1680.8201599121094]","[546.7371940612793, 538.0227661132812, -1002.3080444335938]","[323.4367060661316, 488.59386444091797, -1668.4750366210938]","[538.7169170379639, 540.4282379150391, -912.9833984375]","[325.0583481788635, 493.64540100097656, -1544.4363403320312]","[388.41596603393555, 718.0604553222656, 76.77620887756348]","[330.252628326416, 708.8392639160156, -76.50064468383789]","[381.14516258239746, 832.6795196533203, 220.33746719360352]","[301.19507789611816, 818.1224060058594, -131.57540321350098]","[362.87601470947266, 935.1582336425781, 691.5817260742188]","[284.3350553512573, 928.2100677490234, 223.10827255249023]","[348.53166818618774, 946.5761566162109, 721.8360137939453]","[287.6031446456909, 940.4119873046875, 241.46284103393555]","[378.3518886566162, 969.1699981689453, 461.1471939086914]","[270.88107347488403, 959.2291259765625, -74.42759037017822]",squat
270,"[405.77166080474854, 480.89183807373047, -399.1806411743164]","[411.0264730453491, 472.08961486816406, -351.0562515258789]","[413.8429641723633, 472.9174041748047, -351.07006072998047]","[416.54298305511475, 473.8688659667969, -350.95218658447266]","[400.37883281707764, 470.15987396240234, -365.4899215698242]","[396.32195949554443, 469.80541229248047, -365.5943298339844]","[392.2064208984375, 469.6521759033203, -365.5406188964844]","[417.0480537414551, 480.66410064697266, -104.74300384521484]","[384.4411897659302, 475.5675506591797, -162.6917266845703]","[409.60636138916016, 493.0193328857422, -308.0084419250488]","[397.58809089660645, 490.1976776123047, -325.5111312866211]","[439.74881172180176, 552.6827239990234, 7.08957314491272]","[349.7071838378906, 530.6941986083984, -172.2152328491211]","[488.21624279022217, 575.6062698364258, -333.95877838134766]","[319.7873568534851, 547.4309158325195, -655.8147430419922]","[524.598069190979, 554.7698974609375, -861.5766906738281]","[318.38205099105835, 512.9256057739258, -1245.6151580810547]","[545.8468723297119, 545.5953979492188, -965.5195617675781]","[315.7844281196594, 498.54007720947266, -1385.1658630371094]","[541.5944337844849, 540.7035446166992, -979.5358276367188]","[323.8683271408081, 495.13240814208984, -1377.5584411621094]","[533.111572265625, 542.9086303710938, -886.1856079101562]","[325.6503224372864, 500.49354553222656, -1262.9051971435547]","[388.0971908569336, 718.9381408691406, 55.96313953399658]","[329.9869179725647, 709.1291809082031, -55.72584629058838]","[380.3106737136841, 832.6622009277344, 146.7645263671875]","[301.9843339920044, 819.1489410400391, -95.0519847869873]","[360.4179096221924, 935.1599884033203, 583.7557983398438]","[286.5357756614685, 928.9682769775391, 241.75909042358398]","[347.10529088974, 946.5155792236328, 610.654296875]","[290.16424655914307, 941.2620544433594, 257.3423385620117]","[375.0559902191162, 968.9545440673828, 351.5631866455078]","[271.3372206687927, 959.4198608398438, -46.09119415283203]",squat
271,"[405.7721757888794, 490.20729064941406, -379.6077346801758]","[411.0066032409668, 480.97415924072266, -329.4251251220703]","[413.79485607147217, 481.4516830444336, -329.41383361816406]","[416.5038871765137, 482.1680450439453, -329.3254852294922]","[400.46260356903076, 479.51343536376953, -341.83189392089844]","[396.4602756500244, 479.07203674316406, -341.9268035888672]","[392.39863872528076, 478.7735366821289, -341.8825149536133]","[417.041916847229, 487.38086700439453, -80.21252632141113]","[384.7072649002075, 483.3501434326172, -129.85037803649902]","[409.60477352142334, 501.2051773071289, -288.85473251342773]","[397.6121664047241, 499.12078857421875, -303.5110092163086]","[440.4934787750244, 560.1520538330078, 46.33156776428223]","[349.34027910232544, 537.7756500244141, -120.82535743713379]","[484.57011222839355, 594.7278594970703, -237.55517959594727]","[313.5872268676758, 560.238151550293, -495.03658294677734]","[520.6535482406616, 561.4138031005859, -734.5333099365234]","[317.7709150314331, 519.1958618164062, -999.5549774169922]","[541.6146898269653, 551.1506271362305, -828.1840515136719]","[315.8166575431824, 503.7559127807617, -1119.9983978271484]","[535.1758861541748, 544.9995803833008, -847.1885681152344]","[324.7448515892029, 501.4044952392578, -1114.1468048095703]","[526.9045972824097, 547.5869750976562, -759.9636077880859]","[326.21182680130005, 507.2350311279297, -1013.1903076171875]","[387.63121604919434, 720.5190277099609, 42.55679130554199]","[328.8948082923889, 710.4020690917969, -42.31978893280029]","[380.0091075897217, 835.8595275878906, 76.04465007781982]","[302.23382234573364, 820.56884765625, -38.20314884185791]","[359.6310782432556, 935.7183837890625, 490.7906723022461]","[287.50943899154663, 930.1755523681641, 307.2347640991211]","[346.1918377876282, 946.6231536865234, 515.5163955688477]","[291.3898229598999, 942.1791839599609, 322.7384567260742]","[372.81031608581543, 969.2756652832031, 258.2797622680664]","[271.3350534439087, 960.0424194335938, 34.68752384185791]",squat
272,"[405.660982131958, 498.72215270996094, -378.26324462890625]","[410.9397840499878, 489.6487045288086, -328.45726013183594]","[413.7333583831787, 490.18314361572266, -328.4711456298828]","[416.4837169647217, 490.9071731567383, -328.4022521972656]","[400.45217514038086, 487.86888122558594, -340.16117095947266]","[396.44057750701904, 487.20924377441406, -340.25035858154297]","[392.37507820129395, 486.7030334472656, -340.19432067871094]","[417.01964378356934, 495.46741485595703, -80.64430236816406]","[384.56650257110596, 490.3972625732422, -127.42827415466309]","[409.45993423461914, 509.7737503051758, -288.363037109375]","[397.42316722869873, 507.3009490966797, -302.2270965576172]","[440.31301975250244, 566.966552734375, 44.03351306915283]","[347.3178505897522, 544.2618560791016, -102.71141052246094]","[484.1260242462158, 602.0809173583984, -214.41905975341797]","[303.365843296051, 569.5949554443359, -423.26900482177734]","[518.5585498809814, 567.4953079223633, -680.4141235351562]","[315.8056712150574, 526.8910980224609, -871.2371826171875]","[539.1089487075806, 556.7532348632812, -769.3634796142578]","[315.73065519332886, 509.9340057373047, -980.703125]","[531.6960954666138, 548.7100982666016, -787.4580383300781]","[324.87484216690063, 508.15399169921875, -972.6665496826172]","[523.078351020813, 552.2162628173828, -704.5259857177734]","[326.0988521575928, 514.4185256958008, -882.3448181152344]","[385.7468032836914, 722.8163146972656, 29.321675300598145]","[326.70082569122314, 712.8479766845703, -29.01158571243286]","[380.3066396713257, 838.4431457519531, 0.921248123049736]","[301.09778881073, 820.8180236816406, 0.6738924235105515]","[359.6632647514343, 935.8273315429688, 389.58648681640625]","[288.55865478515625, 930.3987884521484, 361.3801956176758]","[346.2615966796875, 946.6109466552734, 412.7610397338867]","[292.68884897232056, 942.4077606201172, 379.0260314941406]","[372.4655342102051, 969.903564453125, 155.38490295410156]","[270.5723834037781, 960.2677917480469, 104.93748664855957]",squat
273,"[405.66239833831787, 508.23036193847656, -385.85304260253906]","[410.8413362503052, 499.27162170410156, -336.30348205566406]","[413.56757640838623, 499.72537994384766, -336.31710052490234]","[416.33952140808105, 500.38368225097656, -336.2310028076172]","[400.50294399261475, 497.5697326660156, -351.6322708129883]","[396.50447845458984, 496.9129180908203, -351.7313003540039]","[392.44232654571533, 496.33995056152344, -351.67240142822266]","[416.4830732345581, 504.38419342041016, -86.34496688842773]","[384.463849067688, 499.56871032714844, -151.58735275268555]","[409.3991231918335, 519.9622344970703, -294.630126953125]","[397.5065088272095, 517.244987487793, -313.197078704834]","[439.21597480773926, 575.1948928833008, 42.54463195800781]","[345.6284236907959, 550.4495239257812, -135.05406379699707]","[484.31832790374756, 606.8635177612305, -189.1733741760254]","[299.8610544204712, 574.9491119384766, -497.76973724365234]","[519.5158195495605, 573.2437896728516, -627.3743438720703]","[315.5853867530823, 530.6021118164062, -928.8108825683594]","[538.90784740448, 564.3805694580078, -711.3802337646484]","[316.9616174697876, 515.489616394043, -1035.1130676269531]","[532.1135759353638, 555.6468963623047, -727.3423767089844]","[325.9607934951782, 514.3544769287109, -1019.3424224853516]","[524.1114091873169, 559.0120697021484, -650.2503967285156]","[326.5378761291504, 520.0223922729492, -936.7564392089844]","[384.10460472106934, 727.3356628417969, 32.74381875991821]","[325.6725740432739, 717.7532196044922, -32.455101013183594]","[380.40101051330566, 839.8927307128906, -93.66230010986328]","[301.0264205932617, 821.9234466552734, 26.903138160705566]","[359.59232568740845, 938.4413146972656, 250.823974609375]","[289.3017554283142, 930.6429290771484, 388.5897445678711]","[345.9439158439636, 948.3261871337891, 270.27368545532227]","[294.1968297958374, 943.0475616455078, 406.81785583496094]","[369.8598003387451, 970.1852416992188, 3.9456596970558167]","[271.06170415878296, 960.9809112548828, 136.95276260375977]",squat
274,"[405.6625270843506, 518.9010620117188, -401.2664794921875]","[410.63851833343506, 509.70062255859375, -348.0942153930664]","[413.23824405670166, 510.2080535888672, -348.089599609375]","[415.9678316116333, 510.9684753417969, -348.0508804321289]","[400.5392074584961, 507.77469635009766, -364.4131851196289]","[396.56078338623047, 506.99256896972656, -364.5120620727539]","[392.5060987472534, 506.3457489013672, -364.42298889160156]","[415.6944179534912, 514.932975769043, -87.86965370178223]","[384.1670036315918, 509.0557098388672, -154.4580078125]","[409.2173767089844, 531.138801574707, -307.88150787353516]","[397.6055145263672, 528.4557342529297, -328.93077850341797]","[438.532977104187, 584.52392578125, 42.1829891204834]","[344.7855019569397, 558.880500793457, -147.2555160522461]","[483.62215518951416, 621.5374755859375, -170.4667091369629]","[296.93796157836914, 580.8095169067383, -477.78167724609375]","[518.7053632736206, 588.3332061767578, -603.8295364379883]","[315.157413482666, 537.1246337890625, -867.979736328125]","[535.7387208938599, 575.4951858520508, -682.0630645751953]","[318.46410512924194, 522.355842590332, -966.0647583007812]","[529.2926216125488, 567.5064086914062, -700.5953216552734]","[327.28488206863403, 521.6511917114258, -947.215576171875]","[522.1119403839111, 571.6655731201172, -627.2666931152344]","[327.23647356033325, 527.2505569458008, -873.0362701416016]","[383.13008308410645, 732.4538421630859, 38.46456527709961]","[325.0522756576538, 722.1974182128906, -38.14422369003296]","[383.4579563140869, 839.8091888427734, -184.11123275756836]","[300.7701516151428, 822.9450225830078, -28.843188285827637]","[363.43361377716064, 938.8734436035156, 128.40535163879395]","[289.8658347129822, 930.4077911376953, 374.9380874633789]","[347.4307608604431, 948.8038635253906, 146.08755111694336]","[296.3020634651184, 943.0352783203125, 400.59993743896484]","[371.7233991622925, 970.2051544189453, -115.88302612304688]","[271.2233233451843, 961.0552215576172, 54.3986701965332]",squat
275,"[404.21653747558594, 530.1088333129883, -465.0154113769531]","[409.2218828201294, 520.9451293945312, -412.1524429321289]","[411.83062076568604, 521.5626907348633, -412.1416473388672]","[414.5587921142578, 522.2990036010742, -412.07298278808594]","[399.0573835372925, 518.4959030151367, -427.7639389038086]","[394.9606418609619, 517.6296234130859, -427.89676666259766]","[390.77982902526855, 516.9439697265625, -427.8179931640625]","[414.6857786178589, 526.507568359375, -147.9292392730713]","[382.1312713623047, 519.8146438598633, -214.88649368286133]","[407.5623893737793, 542.5162506103516, -369.42848205566406]","[395.7811403274536, 539.721565246582, -389.5075225830078]","[437.11913108825684, 595.7258987426758, 10.508971214294434]","[342.6330828666687, 568.9680862426758, -160.52215576171875]","[483.18943977355957, 632.6186370849609, -205.51822662353516]","[292.8295683860779, 590.4679489135742, -519.6451187133789]","[517.0447969436646, 598.4392166137695, -676.3734436035156]","[315.16550302505493, 548.5558319091797, -945.8195495605469]","[532.796745300293, 585.8120727539062, -765.7490539550781]","[320.5120038986206, 534.2551422119141, -1046.0456085205078]","[525.9395170211792, 577.6656341552734, -781.239013671875]","[328.7911033630371, 532.6787567138672, -1025.810317993164]","[519.0935754776001, 580.6876373291016, -700.7949066162109]","[328.22623014450073, 538.4940338134766, -950.257568359375]","[382.14693546295166, 740.0257110595703, 38.55605363845825]","[324.6005916595459, 729.4776916503906, -38.20378541946411]","[386.9413948059082, 839.5420074462891, -288.64330291748047]","[300.7686710357666, 824.9932098388672, -168.31096649169922]","[365.6679153442383, 937.8528594970703, 23.812899589538574]","[290.0819134712219, 930.4025268554688, 115.52454948425293]","[349.7305941581726, 947.9605102539062, 41.482224464416504]","[295.7865643501282, 943.2294464111328, 125.98567962646484]","[372.1660280227661, 970.2011871337891, -225.4930305480957]","[272.11480379104614, 960.9800720214844, -169.3572998046875]",squat
